point_index,x,y,z,gap_effect,gap_effect_normalized,gap_baseline,homo_effect,homo_effect_normalized,homo_baseline,lumo_effect,lumo_effect_normalized,lumo_baseline
73,10.840367,19.50901,16.051969,0.08333478259302,-0.3131539790549397,0.7277855840285482,-0.34421966013355,0.29641355726146323,1.7785305759749417,-0.26088487754053,0.1012375871930229,2.50631616000349
74,11.38731,18.709924,15.793102,0.12966600258904,-0.15363762008014414,0.7277855840285482,-0.37150970020571,0.1868444633992301,1.7785305759749417,-0.24184369761667,0.31190769572088994,2.50631616000349
75,11.775073,19.124202,14.957052,0.15785152214797,-0.05659611208101056,0.7277855840285482,-0.38822147939096,0.1197469253482848,1.7785305759749417,-0.23036995724299,0.43885225164700814,2.50631616000349
76,9.825957,17.180145,14.867268,0.20726819040751,0.1135433099783334,0.7277855840285482,-0.43562781749714,-0.07058879771720605,1.7785305759749417,-0.22835962708963,0.4610943854474716,2.50631616000349
77,11.678766,18.152377,14.702117,0.22501147821275,0.17463267190700527,0.7277855840285482,-0.44906712169045,-0.12454739868320797,1.7785305759749417,-0.2240556434777,0.5087133196864819,2.50631616000349
78,10.665795,17.273928,14.285403,0.33587678923817,0.5563370766885418,0.7277855840285482,-0.55669971473578,-0.5566906149934753,1.7785305759749417,-0.22082292549762,0.544479855711387,2.50631616000349
79,11.684629,18.890736,13.987402,0.26081951498158,0.2979181724375337,0.7277855840285482,-0.48526744376628,-0.2698911386294186,1.7785305759749417,-0.22444792878471,0.5043731060793342,2.50631616000349
80,10.270357,20.28422,13.77544,0.18056299318002,0.02159848685908572,0.7277855840285482,-0.41970987263589,-0.0066784923462945844,1.7785305759749417,-0.23914687945587,0.34174507853474245,2.50631616000349
81,11.134154,19.647612,13.557019,0.23729021394702,0.2169078206579491,0.7277855840285482,-0.46915640643993,-0.20520556996183603,1.7785305759749417,-0.2318661924929,0.4222980231936142,2.50631616000349
82,8.964721,21.539801,27.592362,-0.09692753950963,-0.9337892501448583,0.7277855840285482,-0.18686433785765,0.9281927716041627,1.7785305759749417,-0.28379187736727,-0.1522036469554987,2.50631616000349
83,8.173442,20.899707,27.542648,-0.100326887029,-0.9454930546038491,0.7277855840285482,-0.19029971023553,0.9143998040039556,1.7785305759749417,-0.29062659726453,-0.2278224472751713,2.50631616000349
84,9.958595,21.340025,27.475895,-0.10244533112674,-0.9527867647455669,0.7277855840285482,-0.19275690999379,0.9045341845237662,1.7785305759749417,-0.29520224112053,-0.27844700896635555,2.50631616000349
